Length,Time
-1,0.00210977
-1,0.00972724
-1,0.00048041
-1,0.00036931
-1,0.00033045
-1,0.00032187
-1,0.00042677
-1,0.00049067
-1,0.00045252
-1,0.00174117
-1,0.00403333
-1,0.00032043
-1,0.00211143
-1,0.00213099
-1,0.00215459
-1,0.00205636
-1,0.00264406
-1,0.00213099
-1,0.00267768
-1,0.00146008
-1,0.00075197
-1,0.00228858
-1,0.00902224
-1,0.00856972
-1,0.00974298
-1,0.00425482
-1,0.00312066
-1,0.0031755
-1,0.0038867
-1,0.00421143
-1,0.00320363
-1,0.00345969
-1,0.00457215
-1,0.01928902
-1,0.00374365
-1,0.00574255
-1,0.00217938
-1,0.00200415
-1,0.0059979
-1,0.00886631
-1,0.02556014
-1,0.00291228
-1,0.0170176
-1,0.03160977
-1,0.0102942
-1,0.01011992
-1,0.01133418
-1,0.01044893
-1,0.00468326
-1,0.00498819
-1,0.00430012
-1,0.00482368
-1,0.0029223
-1,0.00360751
-1,0.00644732
-1,0.00229144
-1,0.00204062
-1,0.00461912
-1,0.00759053
-1,0.00044608
-1,0.00045991
-1,0.00082779
-1,0.00240612
-1,0.00054002
-1,0.00279021
-1,0.00301313
-1,0.00520802
-1,0.00519609
-1,0.00748372
-1,0.00047874
-1,0.0004468
-1,0.00077891
-1,0.00242758
-1,0.00061369
-1,0.00287318
-1,0.00314927
-1,0.00524044
-1,0.00529456
-1,0.00076437
-1,0.0094924
-1,0.00382018
-1,0.01523018
-1,0.00870156
-1,0.00086999
-1,0.00186825
-1,0.00114918
-1,0.00146651
-1,0.00167847
-1,0.00166941
-1,0.00172281
-1,0.00200891
-1,0.00111818
-1,0.00260854
-1,0.07771826
-1,0.00144601
-1,0.00094581
-1,0.00227261
-1,0.00226498
-1,0.08124733
-1,0.06413317
-1,0.00136375
-1,0.00132108
-1,0.00323725
-1,0.06933761
-1,0.08032727
-1,0.0019958
-1,0.00139999
-1,0.00306058
-1,0.06786299
-1,0.00236297
-1,0.05682683
-1,0.0629971
-1,0.06005907
-1,0.09015512
-1,0.05269337
-1,0.05468059
-1,0.05013728
-1,0.05012512
-1,0.05222106
-1,0.0042038
-1,0.0025568
-1,0.00603724
-1,0.00898147
-1,0.00173235
-1,0.0610652
-1,0.07107711
-1,0.00124502
-1,0.06817079
-1,0.05220103
-1,0.00264311
-1,0.00342417
-1,0.0520308
-1,0.00354457
-1,0.00214005
-1,0.00272655
-1,0.0027113
-1,0.00305533
-1,0.06909966
-1,0.0031302
-1,0.0598855
-1,0.00228
-1,0.0536685
-1,0.00501442
-1,0.00266623
-1,0.00327444
-1,0.00306177
-1,0.00190043
-1,0.00125813
-1,0.00326586
-1,0.00299144
-1,0.00486445
-1,0.00564885
-1,0.00246477
-1,0.0060432
-1,0.00604367
-1,0.00106931
-1,0.00370622
-1,0.00443101
-1,0.00738287
-1,0.00262713
-1,0.06872535
-1,0.08007884
-1,0.00191879
-1,0.00185347
-1,0.00221181
-1,0.00619054
-1,0.04961467
-1,0.06889892
-1,0.00256205
-1,0.00345373
-1,0.00204539
-1,0.00378656
-1,0.00029325
-1,0.00195241
-1,0.00317597
-1,0.00119448
-1,0.0015173
-1,0.00188136
-1,0.0010457
-1,0.00129938
-1,0.00134325
-1,0.06287313
-1,0.05324316
-1,0.00529861
-1,0.00171542
-1,0.00179601
-1,0.05052257
-1,0.00300455
-1,0.00146317
-1,0.00151968
-1,0.05259275
-1,0.00236869
-1,0.06335711
-1,0.00345469
-1,0.00533938
-1,0.00230789
-1,0.00130606
-1,0.00383329
-1,0.05121136
-1,0.0025363
-1,0.0025568
-1,0.00292444
-1,0.00244331
-1,0.00238609
-1,0.00204086
-1,0.00094724
-1,0.00180817
-1,0.00155473
