Length,Time
2,0.00081491
2,0.00182271
4,0.01656246
4,0.004462
3,0.00629592
5,0.01197791
4,0.00838447
3,0.0017767
3,0.03680134
2,0.00558519
2,0.00439262
2,0.00584912
2,0.00381756
2,0.00158834
2,0.00168085
2,0.00087833
3,0.0013454
3,0.05920267
4,0.07564282
5,0.07853818
4,0.0038414
2,0.01762319
7,0.19924068
4,0.01886272
5,0.46070838
3,0.00264311
2,0.00225759
4,0.0080657
3,0.00246739
3,0.01966476
2,0.00093627
2,0.00759983
3,0.01598811
3,0.01517963
2,0.00130415
4,0.04847646
3,0.00300694
3,0.00226593
3,0.00309324
2,0.00337958
4,0.00471473
6,0.02961373
6,0.01204157
4,0.00118208
2,0.00080609
2,0.00170422
4,0.00172853
4,0.00157213
2,0.00462127
2,0.0010469
2,0.00099206
9,0.0073638
2,0.00095677
2,0.00206518
5,0.00139546
5,0.00180387
5,0.0013833
4,0.00118709
2,0.00085306
3,0.00381064
2,0.00207114
4,0.00165272
2,0.00103354
2,0.00075173
2,0.01053071
2,0.00170612
3,0.00196981
4,0.01083422
5,0.00356698
3,0.00288391
3,0.00155616
7,0.00338817
7,0.00339222
8,0.00783372
8,0.00348496
8,0.0037601
5,0.00354552
5,0.01345277
4,0.00323153
5,0.0052774
4,0.00309014
4,0.00313044
4,0.00288391
6,0.01233649
6,0.0279088
6,0.01266384
7,0.00340152
7,0.01432133
6,0.01106715
2,0.0007875
2,0.00089455
2,0.00077653
2,0.00092268
5,0.00839138
11,0.05195332
10,0.06594324
11,0.04367638
5,0.004776
5,0.01003981
2,0.00182271
6,0.00339818
4,0.00115871
10,0.02033043
3,0.00108528
2,0.0006876
2,0.00062442
3,0.00074697
3,0.00208044
3,0.00085878
4,0.01474643
4,0.00951242
2,0.00077128
8,0.02368188
8,0.0130403
8,0.03698397
9,0.00808883
9,0.04445481
9,0.02194571
9,0.03621697
10,0.00772285
5,0.00667572
4,0.00546122
4,0.00630379
3,0.00417233
2,0.00159669
8,0.02221274
9,0.01598549
5,0.01003075
4,0.00299311
4,0.00756311
2,0.00144362
5,0.00372148
5,0.00406504
4,0.00254083
4,0.00356603
4,0.00398779
4,0.00257039
3,0.00197864
3,0.00212026
4,0.00084543
2,0.00066328
3,0.00086093
2,0.00153875
4,0.00256538
5,0.0034833
7,0.00697732
2,0.00139713
2,0.00184417
2,0.00072312
2,0.0006578
2,0.00152469
5,0.00274372
5,0.00325274
4,0.00083542
4,0.00198936
4,0.00239587
2,0.00068784
2,0.00143361
2,0.00446606
2,0.00775695
2,0.02015996
2,0.00070047
4,0.00239921
4,0.00276685
3,0.00061512
3,0.00194097
2,0.00128055
2,0.00270224
2,0.00061679
2,0.00372887
3,0.0027647
3,0.00168777
2,0.01085496
2,0.0021348
4,0.00484252
3,0.0010078
3,0.01648736
3,0.00189328
4,0.00551653
3,0.00311875
4,0.0087893
3,0.00066948
2,0.00089908
2,0.00080824
3,0.00121832
3,0.00125861
6,0.07794404
8,0.00987124
8,0.00785065
8,0.00376081
8,0.00290632
7,0.00259495
8,0.01386213
8,0.00220227
8,0.01940179
8,0.34047079
5,0.0054307
8,0.02223229
8,0.0385828
8,0.00635958
8,0.00265408
8,0.06497812
8,0.00244713
8,0.00359559
8,0.00306225
3,0.0023632
7,0.00219941
7,0.06285286
7,0.0046277
8,0.00344276
8,0.07507467
7,0.01294684
8,0.00244021
8,0.02199936
7,0.02299523
7,0.00226784
3,0.00340986
8,0.0055716
7,0.00697684
7,0.00219607
10,0.00253463
8,0.00191379
9,0.0026319
9,0.00252533
9,0.0221777
9,0.00178766
3,0.00419497
9,0.00267982
9,0.0025239
9,0.00329781
9,0.00360274
9,0.00480604
9,0.0050714
9,0.00362587
9,0.01479554
9,0.00703883
9,0.00775242
3,0.00149179
9,0.0018177
9,0.00796318
9,0.00207901
9,0.0020771
9,0.01386857
9,0.00367165
8,0.0015502
9,0.00507331
9,0.01306081
3,0.0021975
9,0.00195694
9,0.0017488
10,0.00338483
9,0.01192808
9,0.01047373
9,0.00241137
8,0.00569963
9,0.01465702
9,0.00665545
6,0.0034802
9,0.0049274
8,0.00416994
8,0.00258851
10,0.0022645
8,0.00293374
8,0.0039103
8,0.00657725
8,0.0116961
9,0.06329823
8,0.00248289
6,0.00292134
8,0.00960326
8,0.00465846
9,0.04815435
8,0.00615239
8,0.00272369
9,0.0107491
8,0.00349784
9,0.00494432
8,0.00571775
7,0.02491331
8,0.00826836
9,0.00403619
7,0.00697541
8,0.00374532
8,0.01499653
8,0.00314522
8,0.0127852
8,0.01640368
10,0.00518751
9,0.00248218
9,0.00477266
8,0.0024147
8,0.00865531
3,0.00261569
7,0.00225186
7,0.02588272
8,0.00230312
8,0.00343108
8,0.00727272
8,0.01399183
8,0.00259972
7,0.0025599
7,0.0088563
8,0.00339365
9,0.00791192
9,0.00581217
2,0.00719619
4,0.00439262
3,0.00224137
2,0.00134826
5,0.03705883
3,0.00168705
3,0.00115442
5,0.01531553
2,0.00159812
3,0.00171661
2,0.00395274
2,0.00160074
2,0.0019536
4,0.00247383
3,0.00474143
3,0.00394607
5,0.01004553
5,0.00723076
2,0.00053
4,0.01128697
3,0.00417542
5,0.0103147
5,0.01269698
3,0.00536561
2,0.00205851
2,0.00231099
5,0.00823402
4,0.00816321
3,0.01470423
4,0.00878096
2,0.00578642
2,0.00304532
2,0.00077677
2,0.00204468
4,0.01211166
4,0.00945592
3,0.00220466
5,0.01831603
4,0.00545597
3,0.00114512
3,0.03131866
2,0.00187254
2,0.0035193
2,0.00262451
2,0.00309658
2,0.00157762
2,0.0018363
2,0.00089908
3,0.00121427
2,0.05220318
3,0.0609796
4,0.05855465
3,0.00326204
2,0.00255489
6,0.17514491
2,0.00600219
2,0.00218844
3,0.00242496
2,0.00068307
4,0.01421142
3,0.00243902
2,0.00214124
2,0.0009656
3,0.01432204
3,0.01394129
3,0.01355457
2,0.00142837
3,0.02555656
4,0.00173831
2,0.00147676
2,0.00255394
2,0.00275493
8,0.02366519
2,0.00211239
3,0.00191188
2,0.00172687
3,0.00194359
3,0.00210166
3,0.00225139
3,0.00344348
3,0.00335383
3,0.00208807
3,0.00203538
4,0.0020988
5,0.00409412
2,0.00256515
2,0.00196433
2,0.00249147
2,0.00248599
2,0.00287271
